128.114.143.157, 2019-04-22 06:40:58, POST, /hw2/default/list/new/r_products, HTTP/1.1, 303, 0.063103
128.114.143.157, 2019-04-22 06:40:58, GET, /hw2/default/list, HTTP/1.1, 200, 0.065402
128.114.143.157, 2019-04-22 06:40:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000413
128.114.11.83, 2019-04-22 16:16:09, GET, /hw2/default/, HTTP/1.1, 500, 0.104436
128.114.11.83, 2019-04-22 16:16:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000373
128.114.11.83, 2019-04-22 16:18:54, GET, /hw2/default/, HTTP/1.1, 500, 0.026598
128.114.11.83, 2019-04-22 16:18:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000263
128.114.11.83, 2019-04-22 16:20:54, GET, /hw2/default/, HTTP/1.1, 500, 0.024578
128.114.11.83, 2019-04-22 16:20:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000390
128.114.11.83, 2019-04-22 16:21:27, GET, /hw2/default/, HTTP/1.1, 500, 0.026137
128.114.11.83, 2019-04-22 16:21:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000290
128.114.11.83, 2019-04-22 16:23:00, GET, /, HTTP/1.1, 303, 0.000627
128.114.11.83, 2019-04-22 16:23:00, GET, /welcome/default/index, HTTP/1.1, 200, 0.475408
128.114.11.83, 2019-04-22 16:23:00, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000407
128.114.11.83, 2019-04-22 16:23:00, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000266
128.114.11.83, 2019-04-22 16:23:00, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000205
128.114.11.83, 2019-04-22 16:23:00, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.014833
128.114.11.83, 2019-04-22 16:23:00, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.015535
128.114.11.83, 2019-04-22 16:23:00, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.032512
128.114.11.83, 2019-04-22 16:23:00, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000499
128.114.11.83, 2019-04-22 16:23:00, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000228
128.114.11.83, 2019-04-22 16:23:00, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000645
128.114.11.83, 2019-04-22 16:23:01, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000482
128.114.11.83, 2019-04-22 16:23:01, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000597
128.114.11.83, 2019-04-22 16:23:07, GET, /admin/default/site, HTTP/1.1, 200, 0.084206
128.114.11.83, 2019-04-22 16:23:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000440
128.114.11.83, 2019-04-22 16:23:09, GET, /welcome/default/index, HTTP/1.1, 200, 0.016548
128.114.11.83, 2019-04-22 16:23:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.016351
128.114.11.83, 2019-04-22 16:23:12, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000489
128.114.11.83, 2019-04-22 16:23:22, GET, /welcome/default/index, HTTP/1.1, 200, 0.015652
128.114.11.83, 2019-04-22 16:23:22, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000461
128.114.11.83, 2019-04-22 16:23:27, GET, /hw2/default/index, HTTP/1.1, 500, 0.026922
128.114.11.83, 2019-04-22 16:23:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000353
128.114.11.83, 2019-04-22 16:25:18, GET, /hw2/default/, HTTP/1.1, 500, 0.053658
128.114.11.83, 2019-04-22 16:25:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000359
128.114.11.83, 2019-04-22 16:27:49, GET, /hw2/default/, HTTP/1.1, 500, 0.104095
128.114.11.83, 2019-04-22 16:27:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000333
128.114.11.83, 2019-04-22 16:28:02, GET, /hw2/default/index, HTTP/1.1, 500, 0.028669
128.114.11.83, 2019-04-22 16:28:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000333
128.114.11.83, 2019-04-22 16:28:30, GET, /hw2/default/index, HTTP/1.1, 500, 0.027515
128.114.11.83, 2019-04-22 16:28:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000330
128.114.11.83, 2019-04-22 16:29:58, GET, /hw2/default/index, HTTP/1.1, 500, 0.031050
128.114.11.83, 2019-04-22 16:29:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000373
128.114.11.83, 2019-04-22 16:30:12, GET, /hw2/default/index, HTTP/1.1, 303, 0.077627
128.114.11.83, 2019-04-22 16:30:12, GET, /hw2/default/user/login, HTTP/1.1, 200, 0.067711
128.114.11.83, 2019-04-22 16:30:12, GET, /hw2/static/css/stupid.css, HTTP/1.1, 200, 0.000617
128.114.11.83, 2019-04-22 16:30:12, GET, /hw2/static/css/custom.css, HTTP/1.1, 200, 0.000692
128.114.11.83, 2019-04-22 16:30:12, GET, /hw2/static/css/calendar.css, HTTP/1.1, 200, 0.000236
128.114.11.83, 2019-04-22 16:30:12, GET, /hw2/static/css/myapp.css, HTTP/1.1, 200, 0.000238
128.114.11.83, 2019-04-22 16:30:12, GET, /hw2/static/css/web2py.css, HTTP/1.1, 200, 0.000349
128.114.11.83, 2019-04-22 16:30:12, GET, /hw2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000249
128.114.11.83, 2019-04-22 16:30:12, GET, /hw2/static/js/jquery.js, HTTP/1.1, 200, 0.000295
128.114.11.83, 2019-04-22 16:30:12, GET, /hw2/static/js/web2py.js, HTTP/1.1, 200, 0.000199
128.114.11.83, 2019-04-22 16:30:12, GET, /hw2/static/js/calendar.js, HTTP/1.1, 200, 0.000606
128.114.11.83, 2019-04-22 16:30:12, GET, /hw2/static/js/marked.min.js, HTTP/1.1, 200, 0.000323
128.114.11.83, 2019-04-22 16:30:12, GET, /hw2/static/js/vue.min.js, HTTP/1.1, 200, 0.000345
128.114.11.83, 2019-04-22 16:30:12, GET, /hw2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000555
128.114.11.83, 2019-04-22 16:30:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000365
128.114.11.83, 2019-04-22 16:30:55, POST, /hw2/default/user/login, HTTP/1.1, 303, 0.089053
128.114.11.83, 2019-04-22 16:30:55, GET, /hw2/default/index, HTTP/1.1, 200, 0.054854
128.114.11.83, 2019-04-22 16:30:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000376
128.114.11.83, 2019-04-22 16:31:53, GET, /hw2/default/list, HTTP/1.1, 200, 0.077827
128.114.11.83, 2019-04-22 16:31:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000370
128.114.11.83, 2019-04-22 16:31:59, GET, /hw2/default/index, HTTP/1.1, 200, 0.204354
128.114.11.83, 2019-04-22 16:31:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000415
128.114.11.83, 2019-04-22 16:44:54, GET, /hw2/default/list, HTTP/1.1, 200, 0.228358
128.114.11.83, 2019-04-22 16:44:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000343
128.114.11.83, 2019-04-22 16:45:02, GET, /hw2/default/inc/1, HTTP/1.1, 404, 0.239203
128.114.11.83, 2019-04-22 16:45:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000356
128.114.11.83, 2019-04-22 16:45:42, GET, /hw2/default/list, HTTP/1.1, 200, 0.091513
128.114.11.83, 2019-04-22 16:45:42, GET, /hw2/static/css/calendar.css, HTTP/1.1, 200, 0.000692
128.114.11.83, 2019-04-22 16:45:42, GET, /hw2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000472
128.114.11.83, 2019-04-22 16:45:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000275
128.114.11.83, 2019-04-22 16:45:44, GET, /hw2/default/inc/1, HTTP/1.1, 500, 0.082498
128.114.11.83, 2019-04-22 16:45:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000400
128.114.11.83, 2019-04-22 16:47:43, GET, /hw2/default/list, HTTP/1.1, 200, 0.082280
128.114.11.83, 2019-04-22 16:47:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000367
128.114.11.83, 2019-04-22 16:47:45, GET, /hw2/default/inc/1, HTTP/1.1, 404, 0.051368
128.114.11.83, 2019-04-22 16:47:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000398
128.114.11.83, 2019-04-22 16:48:42, GET, /hw2/default/list, HTTP/1.1, 200, 0.085915
128.114.11.83, 2019-04-22 16:48:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000431
128.114.11.83, 2019-04-22 16:48:44, GET, /hw2/default/list, HTTP/1.1, 200, 0.095153
128.114.11.83, 2019-04-22 16:48:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000407
128.114.11.83, 2019-04-22 16:48:46, GET, /hw2/default/inc/1, HTTP/1.1, 200, 0.066382
128.114.11.83, 2019-04-22 16:48:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000343
128.114.11.83, 2019-04-22 16:48:49, GET, /hw2/default/list, HTTP/1.1, 200, 0.080891
128.114.11.83, 2019-04-22 16:48:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000306
128.114.11.83, 2019-04-22 16:48:51, GET, /hw2/default/list/new/r_products, HTTP/1.1, 200, 0.088802
128.114.11.83, 2019-04-22 16:48:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000278
128.114.11.83, 2019-04-22 16:49:19, POST, /hw2/default/list/new/r_products, HTTP/1.1, 303, 0.082694
